type_product,discounted_price,ABC
SmartTelevisions,0.34179414862872676,A
Smartphones,0.5757754046924102,A
SmartWatches,0.6146121146112529,A
WaterFilters&Purifiers,0.632998381116131,A
USBCables,0.6513552979127198,A
MixerGrinders,0.6690742134675133,A
StorageWaterHeaters,0.6856470357996962,A
InstantWaterHeaters,0.6977140947592786,A
In-Ear,0.708800718828914,A
FanHeaters,0.7195907444176968,A
HEPAAirPurifiers,0.7300018315939026,A
RoboticVacuums,0.7402449627820556,A
StandardTelevisions,0.7496550846874603,A
Split-SystemAirConditioners,0.7590444578037037,A
ElectricHeaters,0.76776807216642,A
TraditionalLaptops,0.7759031263757876,A
SteamIrons,0.7839525645288267,A
Wet-DryVacuums,0.7913518011520435,A
JuicerMixerGrinders,0.7985463891916381,A
AirFryers,0.8054004786806809,B
Projectors,0.811946175640295,B
Tablets,0.8178429815199287,B
CeilingFans,0.8227822853818465,B
HandheldVacuums,0.8276403413535749,B
CanisterVacuums,0.8323570871506996,B
RemoteControls,0.8370546130168117,B
ElectricKettles,0.8416909845569749,B
InductionCooktop,0.8463079177578186,B
ExternalHardDisks,0.8509165514429977,B
HandBlenders,0.8550684933583219,B
PowerBanks,0.8591350376256244,B
DryIrons,0.8631301623765507,B
Monitors,0.8667116217940933,B
SandwichMakers,0.8702325821106078,B
"PressureWashers,Steam&WindowCleaners",0.8736587532219013,B
BasicMobiles,0.8770434267548723,B
Printers,0.8803625777957551,B
Routers,0.8835594201847399,B
Mice,0.8867534232657341,B
DomeCameras,0.8897644001854953,B
Sewing&EmbroideryMachines,0.8927275456860321,B
Rice&PastaCookers,0.8956234214280249,B
WirelessUSBAdapters,0.8984622926019009,B
Kettle&ToasterSets,0.9012196974772806,B
ColdPressJuicers,0.9039736078197489,B
StylusPens,0.9066967225909357,B
Keyboard&MouseSets,0.9092929421357784,B
InkjetPrinters,0.9118804253483426,B
LintShavers,0.9143099993549741,B
MicroSD,0.9166943628420648,B
ExternalSolidStateDrives,0.9189634067430803,B
OvenToasterGrills,0.9212125754881623,B
MiniFoodProcessors&Choppers,0.9234584681086399,B
HDMICables,0.9255881675098143,B
Lapdesks,0.9276447001281569,B
RoomHeaters,0.9296208584895379,B
EggBoilers,0.9315734287537671,B
On-Ear,0.9335192283604806,B
WallChargers,0.9354303010463874,B
BluetoothSpeakers,0.9370670528987514,B
WetGrinders,0.9386762110456139,B
Juicers,0.9402046323777253,B
ScreenProtectors,0.9416972347474952,B
InternalSolidStateDrives,0.9431891818923442,B
PenDrives,0.9446494598326839,B
ImmersionRods,0.9460699874611567,B
Keyboards,0.9474704215253891,B
GraphicTablets,0.9488394047934191,B
Humidifiers,0.9501581541508483,C
StandMixers,0.9514683855843059,C
GamingMice,0.9527050134183178,C
DigitalKitchenScales,0.9539125929475039,C
GamingKeyboards,0.9550738699156143,C
TVWall&CeilingMounts,0.9562174558108608,C
LaundryBaskets,0.9573387771632959,C
DripCoffeeMachines,0.9584356236808528,C
SoundbarSpeakers,0.9595274468073497,C
SelfieSticks,0.9606183963006187,C
Repeaters&Extenders,0.9617010462782233,C
EspressoMachines,0.962749187743328,C
StreamingClients,0.9637754883777366,C
Pop-upToasters,0.9648004785623036,C
WaterPurifierAccessories,0.9657844079851619,C
HeatConvectors,0.9667493358853145,C
ExhaustFans,0.967709677211021,C
OutdoorSpeakers,0.9686261184670284,C
LaptopChargers&PowerSupplies,0.9695097984769917,C
Headsets,0.9703698903898031,C
Webcams,0.971217314620811,C
HalogenHeaters,0.9720053317923254,C
SatelliteReceivers,0.9727621165759445,C
TableFans,0.9734931291793422,C
UninterruptedPowerSupplies,0.9742136581840057,C
WaffleMakers&Irons,0.9748682278799672,C
HandMixers,0.9755129692021154,C
MousePads,0.9761570552993427,C
USBHubs,0.9767609542680893,C
VacuumSealers,0.9773532775965669,C
3DGlasses,0.977942761617054,C
Gamepads,0.9785318088209272,C
SmallKitchenAppliances,0.9790994520107182,C
BasicCases,0.9796566116017752,C
AutomobileChargers,0.9801980457947309,C
InkjetInkCartridges,0.9807331461467848,C
Over-Ear,0.9812678096822247,C
WaterCartridges,0.9817874030444844,C
AirPurifiers&Ionizers,0.9822982600744656,C
TowerSpeakers,0.9828003807721685,C
DisposableBatteries,0.9833009726117226,C
LaptopSleeves&Slipcases,0.9837736081879856,C
DataCards&Dongles,0.9842320472242962,C
RotiMakers,0.9846686454299108,C
OpticalCables,0.9851034963690697,C
AVReceivers&Amplifiers,0.9855381288999217,C
PedestalFans,0.9859711976272958,C
GeneralPurposeBatteries&BatteryChargers,0.986398622684018,C
Stands,0.986822116391215,C
Scientific,0.9872189642849627,C
Memory,0.9876103519710364,C
SelfieLights,0.9879814276845628,C
CoolingPads,0.9883304441590861,C
CompositionNotebooks,0.9886777133671537,C
MilkFrothers,0.9890177751010917,C
CompleteTripodUnits,0.9893560895685739,C
PCSpeakers,0.9896832652124011,C
Cradles,0.9899971179495037,C
"Notebooks,WritingPads&Diaries",0.9903026711709418,C
LaptopAccessories,0.9906082243923799,C
SurgeProtectors,0.9908897527000524,C
Condenser,0.9911684416997344,C
NotebookComputerStands,0.9914407968585145,C
Cases,0.9917065997680857,C
PowerLANAdapters,0.9919684713281317,C
NetworkingDevices,0.9922303428881777,C
PCMicrophones,0.9924810756245687,C
RechargeableBatteries,0.9927274401948204,C
Tabletop&TravelTripods,0.9929731495401513,C
CoffeePresses,0.9932131802695011,C
DigitalScales,0.9934398880921264,C
RCACables,0.993642571000986,C
DigitalBathroomScales,0.9938389200689437,C
HardDiskBags,0.9940343955036736,C
Macro&RinglightFlashes,0.9942089037409352,C
Bedstand&DeskMounts,0.9943727099711558,C
TripodLegs,0.9945360793847624,C
StickBallpointPens,0.9946961726737646,C
Paints,0.9948492768969441,C
FanParts&Accessories,0.9950019443035097,C
BackgroundSupports,0.9951546117100754,C
HandlebarMounts,0.9953050950335713,C
SmallApplianceParts&Accessories,0.9954553599487603,C
RetractableBallpointPens,0.9955990726147406,C
PCHeadsets,0.9957408196059581,C
StandMixerAccessories,0.9958795088808782,C
MeasuringSpoons,0.9960131747647382,C
BluetoothAdapters,0.9961440013406077,C
StovetopEspressoPots,0.9962748279164771,C
TonerCartridges,0.9964054360840396,C
YogurtMakers,0.9965336417602256,C
WireboundNotebooks,0.9966570424536585,C
ExternalMemoryCardReaders,0.99677694861418,C
Film,0.9968968547747015,C
InkjetInkRefills&Kits,0.997016760935223,C
Tripods,0.9971344830126748,C
Financial&Business,0.9972513314568988,C
EthernetCables,0.9973659958180532,C
Lamps,0.9974804417709007,C
LiquidInkRollerballPens,0.9975918300074507,C
D̩cor,0.9977025630190798,C
VideoCameras,0.9978115487642532,C
DVICables,0.9979205345094265,C
MultimediaSpeakerSystems,0.9980295202545999,C
Adapters,0.9981275855844253,C
SecureDigitalCards,0.9982256509142506,C
USBtoUSBAdapters,0.9983224057942343,C
Basic,0.998418505449297,C
Adapters&Multi-Outlets,0.9985113289797554,C
SpeakerCables,0.9985984738942327,C
CameraPrivacyCovers,0.9986786297428873,C
SATACables,0.9987548542420167,C
Mounts,0.9988310787411461,C
LaundryBags,0.9989009693993736,C
GelInkRollerballPens,0.9989664918914618,C
BatteryChargers,0.999031795975243,C
CleaningKits,0.9990971000590243,C
CableConnectionProtectors,0.9991619673261917,C
Notepads&MemoBooks,0.9992248689185964,C
OTGAdapters,0.9992855864279315,C
SprayBottles,0.9993454303040388,C
HandheldBags,0.9994006876056999,C
CordManagement,0.9994550712741331,C
ElectricGrinders,0.9995083629010315,C
PaintingMaterials,0.9995585968116325,C
FountainPens,0.9996077386806986,C
Choppers,0.9996512019337839,C
Caddies,0.9996946651868691,C
InternalHardDrives,0.9997381284399544,C
BottledInk,0.9997796260182769,C
DustCovers,0.9998132608975489,C
ColouringPens&Markers,0.999846022143593,C
Tape,0.9998744152234978,C
PhoneCharms,0.999896037645887,C
WoodenPencils,0.9999176600682761,C
ColouredPaper,0.9999392824906652,C
Earpads,0.9999609049130543,C
Pens,0.9999805616606808,C
Shower&WallMounts,1.0000000000000004,C
